Measure,Pitch Class 0,Pitch Class 1,Pitch Class 2,Pitch Class 3,Pitch Class 4,Pitch Class 5,Pitch Class 6,Pitch Class 7,Pitch Class 8,Pitch Class 9,Pitch Class 10,Pitch Class 11
1,0,0,23,13,0,0,0,0,0,0,0,0
2,0,0,25,14,1,1,0,0,0,0,0,0
3,1,2,24,15,1,1,0,0,0,0,0,1
4,0,0,14,6,5,6,6,5,3,2,3,0
5,2,0,17,4,4,6,5,5,2,2,3,2
6,2,0,14,5,3,4,5,6,2,2,5,2
7,3,2,7,0,3,6,1,10,7,8,2,1
8,1,2,2,3,1,1,1,2,4,22,6,5
9,0,2,0,0,2,1,0,2,7,19,6,1
10,2,2,1,2,1,2,0,2,3,17,6,4
11,0,2,0,0,2,1,0,3,7,20,7,1
12,11,4,1,4,0,1,3,2,0,5,4,19
13,1,3,20,10,0,0,1,0,0,1,0,0
14,0,0,15,9,0,0,0,0,0,0,0,0
15,0,0,18,6,2,4,0,0,0,0,0,0
16,1,0,11,6,9,11,4,5,4,0,0,0
17,2,3,5,3,2,1,4,6,8,5,4,0
18,10,5,11,8,2,2,0,0,0,3,1,9
19,0,0,27,17,1,1,0,0,0,0,0,0
20,0,0,23,9,0,0,0,0,0,0,0,0
21,5,0,2,0,1,0,1,2,0,6,0,1
22,6,2,1,2,5,0,0,0,1,5,1,2
23,7,2,4,1,13,3,3,2,0,8,0,2
24,3,3,0,1,0,1,2,1,1,0,1,2
25,1,2,5,3,2,1,1,0,1,2,2,3
26,1,1,1,1,1,4,1,4,2,7,4,3
27,0,1,0,1,0,0,5,3,4,2,4,3
28,1,1,1,0,1,0,1,3,3,12,6,0
29,1,0,0,1,0,4,2,11,3,7,5,3
30,0,0,0,0,0,2,2,23,6,10,1,1
31,5,1,4,3,8,3,0,3,2,3,1,2
32,2,0,0,1,4,1,0,1,1,6,0,2
33,3,0,6,6,3,4,6,3,0,2,10,3
34,4,0,0,0,1,0,0,13,0,0,0,10
35,1,0,0,0,0,0,0,5,0,0,0,4
